Authors,Title,Year,Inclusion,Final_refugia_type,Scale,Location_Country,Province,High_seas_vs_provinces,EEZ,Ocean_high_seas,Depth,Time,Species,Type_data,Stressor
Alabia I.D.; García Molinos J.; Hirata T.; Mueter F.J.; Hirawake T.; Saitoh S.-I.,Marine biodiversity refugia in a climate-sensitive subarctic shelf,2021,Marine climate refugia (include),Combination,Regional,United States,"Arctic, Cold Temperate Northeast Pacific","Only selected provinces, not its  high seas ",Inside EEZ,Not required,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m)",Past,"Fishes, Invertebrates",Combination,Several pressures
Georges V.; Vaz S.; Carbonara P.; Fabri M.-C.; Fanelli E.; Follesa M.C.; Garofalo G.; Gerovasileiou V.; Jadaud A.; Maiorano P.; Marin P.; Mytilineou C.; Orejas C.; Del Mar Otero M.; Smith C.J.; Thasitis I.; Lauria V.,Mapping the habitat refugia of Isidella elongata under climate change and trawling impacts to preserve Vulnerable Marine Ecosystems in the Mediterranean,2024,Marine climate refugia (include),Habitat-suitable climate refugia,Regional,Multiple,Mediterranean Sea,Selected provinces and its high seas,Both,Atlantic Ocean,"All water column, Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m), Seafloor",Combination,Corals,Combination,Several pressures
Doxa A.; Almpanidou V.; Katsanevakis S.; Queirós A.M.; Kaschner K.; Garilao C.; Kesner-Reyes K.; Mazaris A.D.,4D marine conservation networks: Combining 3D prioritization of present and future biodiversity with climatic refugia,2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Multiple,Mediterranean Sea,Selected provinces and its high seas,Both,Atlantic Ocean,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m), Seafloor, All water column",Combination,Not included,Combination,Chronic warming
"Haase C.G.; Fletcher R.J., Jr; Slone D.H.; Reid J.P.; Butler S.M.",Quality of thermal refuges influences use by the cold-intolerant Florida manatee,2023,Marine climate refugia (include),Combination,Local,USA,"Tropical Northwestern Atlantic, Cold Temperate Northwest Atlantic","Only selected provinces, not its  high seas ",Inside EEZ,Not required,"Shallow (0-50m), Epipelagic (0-200 m)",Present,Marine mammals,Empirical,Chronic warming
Arriaga O.; Wawrzynkowski P.; Muguerza N.; Díez I.; González J.; Gorostiaga J.M.; Quintano E.; Becerro M.A.,Thermal refugia reinforce macroalgal resilience against climate change in the southeastern Bay of Biscay,2024,Marine climate refugia (include),Combination,Regional,Spain,Lusitanian,"Only selected provinces, not its  high seas ",Inside EEZ,Not required,Shallow (0-50m),Combination,Macroalgae,Combination,Chronic warming
Young M.A.; Critchell K.; Sams M.A.,Using predictive models to identify kelp refuges in marine protected areas for management prioritization,2025,Marine climate refugia (include),Habitat-suitable climate refugia,Local,Australia,"Southeast Australian Shelf, West Central Australian Shelf","Only selected provinces, not its  high seas ",Inside EEZ,Not required,"Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m)",Future,Macroalgae,Combination,Chronic warming
"Arafeh-Dalmau, N., Munguia-Vega, A., Micheli, F., Vilalta-Navas, A., Villaseñor-Derbez, J. C., Précoma-de la Mora, M., ... & Possingham, H. P.","Integrating climate adaptation and transboundary management: Guidelines for designing climate-smart
  marine protected areas",2023,Marine climate refugia (include),Resilience-based climate refugia,Regional,"USA, Mexico","Warm Temperate Northeast Pacific, Tropical Northwestern Atlantic","Only selected provinces, not its  high seas ",Inside EEZ,Not required,Not specified,Combination,Macroalgae,Combination,Chronic warming
"Brito-Morales, I., Schoeman, D. S., Everett, J. D., Klein, C. J., Dunn, D. C., García Molinos, J., ... & Richardson, A. J","Towards climate-smart, three-dimensional
  protected areas for biodiversity conservation
  in the high seas",2022,Marine climate refugia (include),Combination,Global,Global,No provinces,"Only all high seas, not provinces",Outside EEZ,"Atlantic Ocean, Pacific Ocean, Indian Ocean, Southern Ocean, Arctic Ocean","All water column, Shallow (0-50m), Epipelagic (0-200 m), Mesopelagic (200–1,000 m), Bathyabyssopelagic
(>1,000 m), Seafloor",Future,Not included,Combination,Chronic warming
"Man, L., Barbosa, R. V., Reshitnyk, L., Gendall, L., Wachmann, A., Dedeluk, N., ... & Costa, M. Canopy-forming kelp forests persist in the dynamic subregion of the Broughton Archipelago, British Columbia, Canada. Frontiers in Marine Science, 12, 1537498.","Canopy-forming kelp forests
 persist in the dynamic subregion
 of the Broughton Archipelago,
 British Columbia, Canada",2025,Marine climate refugia (include),Resilience-based climate refugia,Local,Canada,"Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific","Only selected provinces, not its  high seas ",Inside EEZ,Not required,Shallow (0-50m),Combination,Macroalgae,Satellite-based,Chronic warming
Abe et al. 2022,"Priority coral conservation areas under global warming in the Amami Islands, Southern Japan",2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Japan,"Cold Temperate Northwest Pacific, Warm Temperate Northwest Pacific, Western Indian Ocean","Only selected provinces, not its  high seas ",Inside EEZ,Not required,Epipelagic (0-200 m),Future,Corals,Modelled-based,Chronic warming
Pinsky M.L.; Hillebrand H.; Chase J.M.; Antão L.H.; Hirt M.R.; Brose U.; Burrows M.T.; Gauzens B.; Rosenbaum B.; Blowes S.A.,Warming and cooling catalyse widespread temporal turnover in biodiversity,2025,Marine climate refugia (include),Low-exposure climate refugia,Global,Multiple,"Cold Temperate Northwest Pacific, Cold Temperate Northeast Pacific, Warm Temperate Northeast Pacific, Hawaii, Marshall, Gilbert & Ellis Islands, Central Polynesia, Southeast Polynesia, Northern European Seas, Mediterranean Sea, Cold Temperate Northwest Atlantic, Warm Temperate Northwest Atlantic, Black Sea, Tropical Northwestern Atlantic, North Brazil Shelf, Tropical Southwestern Atlantic, St. Helena & Ascension Islands, Warm Temperate Southwestern Atlantic, Agulhas, Continental High Antarctic, Sahul Shelf, Northeast Australian Shelf, East Central Australian Shelf, Southeast Australian Shelf, Southwest Australian Shelf, West Central Australian Shelf, Northwest Australian Shelf, Lusitanian, Arctic",Selected provinces and its high seas,Both,"Atlantic Ocean, Pacific Ocean, Indian Ocean, Southern Ocean, Arctic Ocean",All water column,Past,Multiple marine species,Combination,Chronic warming
"García-Reyes Marisol , Koval Gammon , Sydeman William J. , Palacios Daniel , Bedriñana-Romano Luis , DeForest Kelly , Montenegro Silva Carlos , Sepúlveda Maritza , Hines Ellen ",Most eastern boundary upwelling regions represent thermal refugia in the age of climate change,2022,Marine climate refugia (include),Low-exposure climate refugia,Regional,Multiple,"Cold Temperate Northeast Pacific, Warm Temperate Southeastern Pacific, Magellanic, Benguela, Lusitanian","Only selected provinces, not its  high seas ",Inside EEZ,Not required,Shallow (0-50m),Combination,"Not included, Multiple marine species",Satellite-based,Chronic warming
"Nur Arafeh-Dalmau, Carolina Olguín-Jacobson, Tom W. Bell, Fiorenza Micheli, Kyle C. Cavanaugh",Shortfalls in the protection of persistent bull kelp forests in the USA,2023,Marine climate refugia (include),Resilience-based climate refugia,Regional,USA,"Cold Temperate Northeast Pacific, Lusitanian, West & South Indian Shelf","Only selected provinces, not its  high seas ",Inside EEZ,Not required,Shallow (0-50m),Combination,Macroalgae,Satellite-based,Acute warming
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,, ,, ,,,,,,
